"Project ID","Project Name","Project Status","Construction Status","Plannning Approval Address","Zip Code","Block","Lot","Supervisor District","City Analysis Neighborhood","Planning Neighborhood","Lead Agency","General Housing Program","Specific Program Area","Multiphase or Multisite Project Name","Redevelopment Project Area","Project Type","Housing Tenure","SSP Acquisition Date","Issuance of Notice to Proceed Date","Issuance of Building Permit Date","Issuance of First Construction Document Date","Estimated/Actual Construction Start Date","Estimated Construction Completion Date","Project Lead Sponsor","Project Co-Sponsor","Project Owner","Planning  Case Number","Planning Entitlements","Entitlement Approval Date","Section 415 Declaration","Total Project Units","MOHCD Affordable Units","% Affordable","SRO Units","Studio Units","1bd Units","2bd Units","3bd Units","4bd Units","5+ bd Units","Mobility Units","Family Units","Senior Units","TAY Units","Homeless Units","Disabled Units","LOSP Units","Public Housing Replacement Units","20% AMI","30% AMI","40% AMi","50% AMI","55% AMI","60% AMI","80% AMI","90% AMI","100% AMI","105% AMI","110% AMI","120% AMI","130% AMI","150% AMI","AMI Undeclared","Latitude","Longitude","Location"
"2023-018","Casa Adelante - 2205 Mission","Pre-Construction","(2) Predevelopment Feasibility","2205 Mission St","94110","3590","35","9","Mission","Mission","MOHCD","Other Ownership Programs","BMR-Other",,"Not in an OCII Project Area","New Construction","Ownership",,"09/30/2025","10/02/2023",,"09/30/2025",,"Mission Economic Development Agency",,,"2018-003616PRJ","8/9/2020","09/13/2023","On-site BMR Project","63","63","100","0","0","0","46","17","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","3","0","11","18","0","0","37.76168146","-122.4188702","(37.76168146, -122.4188702)"
"2016-084","2675 Folsom","Construction","(4) Site Work Permit Issued","2675 Folsom St","94110","3639","006, 007","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"12/07/2018",,,,"Muhammad A. Nadhiri",,,"2014-000601PRJ","2014-000601CUA,2014-000601ENX,2014-000601PPA","09/22/2016","On-site BMR Project","117","19","16","0","4","8","7","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","37.75475257","-122.4139982","(37.75475257, -122.4139982)"
"2016-097","Transbay Block 12","Pre-Construction","(0) Multiphase Project before Predevelopment","Multiphase Project Address not Assigned","94105",,,"6","Financial District/South Beach","South of Market","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Transbay","Transbay","New Construction","Rental",,"12/31/2029",,,"12/31/2029",,"Multiphase Project Sponsor not Assigned","Multiphase Project Sponsor not Assigned","Multiphase Project Owner not Assigned","Not Applicable",,,,"80","79","99","0","0","0","0","0","0","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","37.78431875","-122.394607","(37.78431875, -122.394607)"
"2021-023","4512 23rd St","Pre-Construction","(3) Design with Entitlements Approved","4512 23rd St","94131","2800","5","8","Twin Peaks","Twin Peaks","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Paramount Estate LLC",,,"2019-019698PRJ","2019-019698PRJ, 2019-019698AHB, 2019-019698ENV,","10/21/2021","On-site BMR Project","13","3","23","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","37.75259","-122.4432482","(37.75259, -122.4432482)"
"2016-003","HPSY II-CPS, Block 11A","Pre-Construction","(3) Design with Entitlements Approved","Address not yet assigned","94124",,,"10","Bayview Hunters Point","Bayview","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Hunters Point Ship Yard II/Candlestick Point","Candlestick Point","New Construction","Rental",,"06/01/2028",,,"06/01/2028",,"San Francisco Housing Development Corporation","Mercy Housing CA","Candlestick Point 11a, LP","Not Applicable",,"03/20/2018",,"176","175","99","0","2","45","56","68","3","1","18","170","0","5","38","0","0","0","0","0","0","0","0","175","0","0","0","0","0","0","0","0","0","37.71119086","-122.3853749","(37.71119086, -122.3853749)"
"2020-014","Treasure Island E1.2 - Senior","Pre-Construction","(3) Design with Entitlements Approved","TBD Treasure Island","94130",,,"6","Treasure Island","Treasure Island/YBI","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Treasure Island","Not in an OCII Project Area","New Construction","Rental",,"12/30/2026",,,"12/30/2026",,"Mercy Housing CA",,"Mercy Housing CA",,,,,"100","93","93","0","0","95","5","0","0","0","0","0","99","0","0","0","33","0","0","0","33","0","0","0","60","0","0","0","0","0","0","6","0","37.82144397","-122.3650336","(37.82144397, -122.3650336)"
"1995-024","Plaza East","Building Rehabilitation (Pre-Construction)","(1) Preliminary Phase","1300 Buchanan St","94115","734","8","5","Western Addition","Western Addition","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","Rehabilitation","Rental",,,,,,,,,,"1995.354",,"09/19/1995",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78210913","-122.4288438","(37.78210913, -122.4288438)"
"2022-016","685 Ellis","Building Rehabilitation (Pre-Construction)","(2) Predevelopment Feasibility","685 Ellis St","94109","335","16","5","Tenderloin","Downtown/Civic Center","MOHCD/HSH","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","Rehabilitation","Rental",,,,,"11/03/2027",,"The John Stewart Company",,,,,,,"75","75","100","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78416848","-122.4173498","(37.78416848, -122.4173498)"
"2019-009","4200 3rd Street","Pre-Construction","(2) Predevelopment Feasibility","4200 3rd St","94124",,,"10","Bayview Hunters Point","Bayview","OCII","Inclusionary Housing","OCII Inclusionary Rental Program",,"Bayview Hunters Point","New Construction","Rental",,,,,,,,,,,,,,"85","34","40","0","4","7","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","37.7397622","-122.3891361","(37.7397622, -122.3891361)"
"2023-034","401 South Van Ness","Pre-Construction","(3) Design with Entitlements Approved","401 South Van Ness Ave","94103","3552","25","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"10/24/2025",,"Prime Design LLC",,,,,"10/26/2023","On-site BMR Project; Fee Payment","149","26","17","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","5","0","0","0","5","0","0","0","0","37.76663352","-122.417276","(37.76663352, -122.417276)"
"2020-035","1088 Howard","Construction","(4) Site Work Permit Issued","1088 Howard St","94103","3726","30","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"04/28/2021",,,,"Schaub Ly Architects",,,"2017-009796PRJ",,"10/23/2020","On-site BMR Project","24","3","13","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","37.77839629","-122.409276","(37.77839629, -122.409276)"
"2019-027","2300 Harrison","Pre-Construction","(3) Design with Entitlements Approved","2300 Harrison St","94110","3593","1","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Reuben, Junius & Rose, LLP",,,"2016-010589PRJ",,"12/12/2019","On-site BMR Project","24","3","13","0","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","37.76051343","-122.4127965","(37.76051343, -122.4127965)"
"2022-012","5272-5280 3rd St","Pre-Construction","(3) Design with Entitlements Approved","5272-5280 3rd St","94124","5411","014, 015","10","Bayview Hunters Point","Bayview","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"11/15/2024",,"Alfred Twu",,,"2020-006131PRJ",,"11/17/2022","On-site BMR Project; Fee Payment","12","1","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","37.72972726","-122.3927954","(37.72972726, -122.3927954)"
"2019-026","55 Belcher St","Construction","(4) Site Work Permit Issued","55 Belcher St","94114","3537","100","8","Castro/Upper Market","Castro/Upper Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"02/15/2022",,,,"Sia Consulting Corp",,,"2016-003994PRJ",,"11/21/2019","On-site BMR Project","25","5","20","0","0","3","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","0","0","37.76851061","-122.4297908","(37.76851061, -122.4297908)"
"2016-047","Block 48, Phase 2 (Blocks M, N1, N2, O, P)","Construction","(5) First Construction Document Issued","869 La Salle Ave","94124","4591D","5","10","Bayview Hunters Point","Bayview","OCII","Other Ownership Programs","Limited Equity Program",,"HP Shipyard Phase 1","New Construction","Ownership",,"07/01/2025","04/27/2017","06/30/2021","07/01/2025","04/01/2027","Lennar",,,"Not Applicable",,"03/03/2015",,"87","11","13","0","0","3","8","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","37.72809077","-122.3757238","(37.72809077, -122.3757238)"
"2021-017","4716-4722 Mission","Pre-Construction","(3) Design with Entitlements Approved","4716-4722 Mission St","94112","6955","014, 015","11","Outer Mission","Outer Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Tortilla Flats LLC",,,"2018-002625PRJ",,"07/22/2021","On-site BMR Project","24","3","13","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","37.722837","-122.4365179","(37.722837, -122.4365179)"
"2017-026","342-360 5th","Construction","(5) First Construction Document Issued","342-360 5th St","94107","3753","147","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"12/21/2018","05/04/2020",,,"Reuben, Junius & Rose, LLP",,,"2015-005863PRJ","2015-005863CUA,2015-005863ENV,2015-005863ENX,2015-005863PPA,2015-005863TDM","10/05/2017","On-site BMR Project","127","18","14","0","4","6","5","3","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","37.77941633","-122.4026716","(37.77941633, -122.4026716)"
